,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Sample_ID_Cpx
174,51.19,0.43,3.68,6.89,0.18,15.89,21.1,0.42,0.0,0.28,174
175,51.93,0.56,3.1,7.63,0.22,16.33,20.01,0.41,0.0,0.22,175
176,51.76,0.26,3.5,5.55,0.12,16.44,20.89,0.4,0.0,0.5,176
177,52.03,0.31,3.3,5.73,0.17,16.94,20.42,0.36,0.0,0.37,177
178,51.5,0.38,4.84,7.42,0.18,17.01,18.31,0.5,0.0,0.2,178
179,50.9,0.39,4.97,7.48,0.19,16.1,19.1,0.55,0.0,0.22,179
180,50.89,0.44,4.89,8.39,0.2,16.36,18.1,0.59,0.0,0.17,180
181,50.13,0.18,5.89,4.8,0.0,16.1,21.37,0.41,0.0,0.8,181
182,50.11,0.36,5.48,7.28,0.16,16.15,19.01,0.52,0.0,0.31,182
183,51.13,0.16,4.1,4.21,0.0,15.94,23.56,0.26,0.0,0.71,183
184,48.63,0.35,7.09,7.01,0.15,14.99,19.24,0.51,0.0,0.16,184
185,47.53,0.32,7.66,7.41,0.15,13.48,23.16,0.35,0.0,0.11,185
186,51.5,0.18,8.0,4.9,0.1,20.9,13.8,0.49,0.0,0.49,186
187,51.7,0.26,8.9,4.8,0.1,20.1,14.3,0.52,0.0,0.35,187
188,51.7,0.25,8.4,4.8,0.14,19.9,15.0,0.56,0.0,0.44,188
189,52.4,0.14,6.0,4.1,0.08,19.4,17.6,0.49,0.0,0.9,189
190,52.0,0.18,6.2,3.9,0.09,18.0,18.9,0.43,0.0,0.8,190
191,51.3,0.19,7.2,3.9,0.09,17.6,19.1,0.5,0.0,0.5,191
192,51.6,0.53,7.7,3.8,0.06,17.2,18.9,0.8,0.0,0.61,192
193,51.4,0.22,7.1,3.9,0.09,17.5,19.3,0.51,0.0,0.31,193
194,51.9,0.28,6.7,4.2,0.12,17.2,19.2,0.62,0.0,0.65,194
195,51.7,0.4,3.59,4.6,0.11,16.5,21.9,0.24,0.0,0.77,195
196,53.6,0.27,1.79,4.72,0.14,18.4,20.9,0.14,0.0,0.7,196
197,51.7,0.4,3.59,4.6,0.11,16.5,21.9,0.24,0.0,0.77,197
198,52.5,0.59,3.14,6.23,0.15,16.4,20.9,0.28,0.0,0.63,198
199,51.8,0.63,3.02,6.86,0.18,16.0,20.9,0.28,0.0,0.54,199
200,52.2,0.87,3.05,7.48,0.22,17.3,18.2,0.37,0.0,0.28,200
201,52.8,0.73,2.47,7.21,0.19,17.9,18.6,0.33,0.0,0.31,201
202,52.0,0.85,3.05,7.15,0.18,17.0,19.2,0.34,0.0,0.41,202
203,52.1,0.87,2.24,8.67,0.25,17.5,17.7,0.29,0.0,0.18,203
204,52.4,0.95,2.13,9.35,0.27,18.0,16.7,0.3,0.0,0.17,204
205,51.0,0.69,5.83,6.04,0.17,18.3,16.1,0.41,0.0,0.36,205
206,52.1,0.8,4.28,7.88,0.21,19.2,14.8,0.44,0.0,0.17,206
207,52.0,0.69,4.04,7.34,0.17,18.7,15.9,0.43,0.0,0.21,207
208,51.4,0.55,5.47,5.76,0.21,18.2,17.4,0.32,0.0,0.28,208
209,51.9,0.37,5.33,6.19,0.13,19.2,16.2,0.27,0.0,0.44,209
210,51.9,0.53,5.56,6.19,0.08,18.5,17.2,0.3,0.0,0.37,210
211,52.0,0.92,4.4,6.49,0.0,18.1,18.1,0.35,0.0,0.2,211
