,SiO2_Amp,TiO2_Amp,Al2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,Cr2O3_Amp,F_Amp,Cl_Amp,Sample_ID_Amp
124,47.08,1.82,9.79,10.44,0.3,14.52,10.46,2.07,0.4,0.0,0.0,0.0,124
125,48.77,1.77,8.91,10.24,0.33,14.34,10.09,1.97,0.44,0.0,0.0,0.0,125
126,45.64,1.96,10.56,12.44,0.22,13.86,10.75,2.2,0.37,0.0,0.0,0.0,126
127,47.67,1.69,10.15,8.17,0.3,17.32,10.27,2.08,0.2,0.0,0.0,0.0,127
128,45.74,2.26,10.06,13.48,0.21,13.83,10.4,2.22,0.33,0.0,0.0,0.0,128
129,45.12,2.58,9.55,14.21,0.22,14.16,10.92,2.16,0.33,0.0,0.0,0.0,129
130,48.01,1.19,8.58,12.45,0.38,13.85,9.61,1.38,0.31,0.0,0.0,0.0,130
131,52.57,1.47,6.89,12.39,0.68,15.86,8.87,1.15,0.21,0.0,0.0,0.0,131
132,47.04,1.56,7.64,17.63,0.31,12.77,9.0,1.65,0.15,0.0,0.0,0.0,132
133,48.97,1.49,7.12,13.05,0.56,14.15,10.5,1.24,0.23,0.0,0.0,0.0,133
134,49.01,1.23,8.85,13.88,0.31,12.06,9.0,1.64,0.39,0.0,0.0,0.0,134
135,49.45,1.57,7.56,11.31,0.48,15.16,10.5,1.46,0.22,0.0,0.0,0.0,135
136,49.38,1.15,8.37,11.43,0.43,14.58,9.83,1.64,0.37,0.0,0.0,0.0,136
137,49.46,1.22,7.92,12.56,0.59,16.36,8.01,1.43,0.23,0.0,0.0,0.0,137
138,48.35,1.08,9.1,10.69,0.39,16.28,9.8,1.62,0.33,0.0,0.0,0.0,138
139,45.58,1.97,9.89,13.48,0.29,14.23,10.4,1.99,0.24,0.0,0.0,0.0,139
140,46.48,2.15,9.25,14.11,0.36,13.79,10.19,2.12,0.31,0.0,0.0,0.0,140
141,45.28,2.03,9.06,13.99,0.2,13.5,10.91,2.17,0.38,0.0,0.0,0.0,141
142,42.2,1.39,12.2,9.54,0.14,16.4,11.7,2.5,0.36,0.0,0.0,0.0,142
143,40.7,3.04,14.0,10.6,0.13,14.7,11.9,2.74,0.46,0.0,0.0,0.0,143
144,39.8,2.72,13.6,11.4,0.14,14.2,12.0,2.67,0.49,0.0,0.0,0.0,144
145,41.3,3.17,13.4,11.2,0.16,13.7,11.8,2.77,0.49,0.0,0.0,0.0,145
146,41.1,2.71,13.4,13.0,0.19,13.4,11.6,2.76,0.46,0.0,0.0,0.0,146
147,41.4,2.58,13.2,12.1,0.18,13.9,11.2,2.31,0.83,0.0,0.0,0.0,147
148,42.4,2.75,12.7,10.0,0.15,15.1,11.8,2.39,0.82,0.0,0.0,0.0,148
149,42.0,2.62,13.1,10.8,0.2,14.6,11.7,2.52,0.73,0.0,0.0,0.0,149
150,40.6,2.01,14.4,11.0,0.14,14.9,11.8,3.02,0.32,0.0,0.0,0.0,150
151,42.1,1.61,13.7,11.1,0.14,14.3,11.6,2.96,0.33,0.0,0.0,0.0,151
152,41.3,1.75,13.7,10.7,0.14,15.4,11.8,2.7,0.36,0.0,0.0,0.0,152
153,36.88,0.58,20.27,24.03,1.3,5.22,7.93,0.0,0.12,0.0,0.0,0.0,153
154,42.54,0.86,20.33,16.98,0.68,7.14,6.29,1.13,0.55,0.0,0.0,0.0,154
155,44.85,0.85,19.98,17.73,0.46,8.36,3.86,0.72,0.86,0.0,0.0,0.0,155
156,38.5,0.63,22.55,23.24,0.9,7.47,4.0,0.49,0.25,0.0,0.0,0.0,156
157,44.01,0.74,17.63,15.64,0.64,7.18,6.75,3.06,0.59,0.0,0.0,0.0,157
158,42.56,0.8,19.24,16.23,0.68,7.31,6.52,2.94,0.62,0.0,0.0,0.0,158
