Sample_ID_Gt,SiO2_Gt,TiO2_Gt,Al2O3_Gt,Cr2O3_Gt,FeOt_Gt,MnO_Gt,MgO_Gt,CaO_Gt,Na2O_Gt,Ti_Gt,Ni_Gt,Zn_Gt,Ga_Gt,Sr_Gt,Y_Gt,Zr_Gt
173/034/K001/167,43.11,0.05,21.93,1.91,7.95,0.18,20.33,4.61,0,299.742221689,12.33,12.23,3.32,,4.55,1.36
173/034/K001/167,41.9,0.13,21.67,4.51,7.7,0.27,19.3,5.7,0,779.329776392,12.35,11.65,3.07,,3.74,3.7
173/033/X086/1,42.31,0.08,21.88,2.78,7.98,0.51,20.4,4.61,0,479.587554703,12.4,8.4,1.15,,0.74,0.41
COY553,42.61,0.09,22.29,2.52,7.04,0.38,21.35,4.79,-0.99,900,12.4,,1.42,,1.49,3.5
COY553,42.36,0.1,21.31,3.54,6.65,0.36,21.63,4.48,-0.99,1000,12.4,,0.85,,1.61,28.7
COY553,42.89,0.07,22.66,2.55,7.04,0.4,20.12,4.77,-0.99,700,12.4,,1.4,,2.15,8.8
COY553,42.5,0.08,22.64,2.69,7.08,0.42,19.87,4.8,-0.99,800,12.4,,1.36,,4.2,23.6
COY553,42.2,0.09,21.9,2.87,7.12,0.37,21.97,4.69,-0.99,900,12.4,,1.51,,4.3,23.2
COY553,42.72,0.1,21.89,2.49,7,0.37,21.08,4.82,-0.99,1000,12.4,,1.4,,1.45,1.51
173/033/X086/1,41.47,0.09,22.07,2.34,8.39,0.43,19.39,5.17,0,539.535999041,12.42,8.73,1.46,,3.02,0.86
173/034/K001/167,43.13,0.07,21.23,2.72,7.54,0.27,19.84,4.86,0,419.639110365,12.47,11.05,3.06,,6.46,14.6
173/034/K001/167,43.04,0.17,19.17,4.86,7.39,0.26,19.38,5.82,0,1019.12355374,12.47,11.03,3.99,,8.32,14.05
COY553,43.06,0.09,22.6,2.57,7.05,0.47,20.76,4.62,-0.99,900,12.5,,1.38,,3.4,19.9
COY553,41.76,0.06,20.81,3.58,8.03,0.5,20.01,5.56,-0.99,600,12.5,,1.79,,15.3,53.2
COY553,42.57,0.08,21.75,2.54,7.15,0.37,21.45,4.5,-0.99,800,12.5,,1.35,,3,17
173/034/K001/167,42.83,0.13,21.23,3.35,7.69,0.27,19.5,5.37,0,779.329776392,12.51,12.25,2.98,,11.49,5.25
173/034/K001/167,42.98,0.11,21.61,3.1,8.01,0.22,19.78,5.21,0,659.432887717,12.53,14.65,3.03,,14.45,7.72
