,Reference,Expename,T_K,T(C),DwellatstartT(h),fO2(bar),Fe2+(mol.Frac),Fe3+(mol.Frac),Fe3Fet_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,Cr2O3_Liq,MnO_Liq,FeOt_Liq,NiO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,TOTAL_Liq,Unnamed: 22,Unnamed: 23,SiO2_Ol,TiO2_Ol,Al2O3_Ol,Cr2O3_Ol,MnO_Ol,FeOt_Ol,NiO_Ol,MgO_Ol,CaO_Ol,Na2O_Ol,K2O_Ol,P2O5_Ol,TOTAL_Ol
31,Helz&Thornber1987,9,1385.15,1112,,2.3011728794952e-09,0.0750641426298511,0.018981230150279,0.20183055890113236,51.14,5.13,12.77,0.0,0.2,11.57,0.0,4.82,8.86,2.31,1.12,0.48,98.4,,,38.06,0.14,0.0,0.0,0.31,24.07,0.0,37.61,0.38,0.03,0.0,0.0,100.6
32,Helz&Thornber1987,20,1384.15,1111,,2.23329598420049e-09,0.077864929862627,0.0200005109025436,0.2043674533744255,50.98,5.32,12.76,0.0,0.15,12.25,0.0,4.98,8.96,2.81,0.98,0.67,99.86000000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Helz&Thornber1987,21,1374.15,1101,,1.65148935231602e-09,0.0682415756194199,0.0177551405191043,0.2064630059885563,52.31,4.7,12.63,0.0,0.19,10.6,0.0,4.67,8.27,2.46,1.48,1.0,98.30999999999999,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Helz&Thornber1987,24,1373.15,1100,,1.60200449013323e-09,0.068712112013029,0.0176533187623495,0.20440260187276457,52.5,4.44,12.69,0.0,0.16,10.55,0.0,4.47,7.96,2.32,1.61,0.78,97.47999999999998,,,38.06,0.57,0.03,0.06,0.33,27.1,0.0,33.35,0.48,0.03,0.0,0.0,100.01
35,Helz&Thornber1987,23,1353.15,1080,,8.63618458241889e-10,0.0590819903728506,0.0148237893422371,0.20057686150371343,56.23,3.27,13.59,0.0,0.1,8.99,0.0,3.32,6.28,2.03,2.28,1.06,97.14999999999999,,,37.81,0.15,0.0,0.03,0.33,28.02,0.0,34.16,0.39,0.03,0.0,0.0,100.92
36,Helz&Thornber1987,1,1442.15,1169,,1.18388628389176e-08,0.0652033557847987,0.0174499434470608,0.21112216462297675,50.29,3.2,13.52,0.0,0.19,10.56,0.0,7.26,11.28,2.64,0.68,0.39,100.01000000000002,,,39.47,0.1,0.02,0.025,0.235,16.97,0.0,43.095,0.405,0.02,0.0,0.0,100.33999999999999
37,Helz&Thornber1987,6,1423.15,1150,,6.95858870815637e-09,0.0688689569135111,0.0181819874170123,0.2088660560415885,51.01,3.48,13.63,0.0,0.18,11.11,0.0,6.38,10.77,2.69,0.72,0.49,100.45999999999998,,,39.11,0.09,0.01,0.04,0.24,19.29,0.0,41.42,0.41,0.04,0.0,0.0,100.65
38,Helz&Thornber1987,7,1398.15,1125,,3.38294658068538e-09,0.0787481547543557,0.0200473058348583,0.20291727692038275,51.45,4.73,12.78,0.0,0.21,12.48,0.0,5.38,9.57,2.6,0.89,0.6,100.68999999999998,,,35.91,0.14,0.04,0.01,0.31,24.72,0.0,38.08,0.38,0.06,0.0,0.0,99.64999999999999
39,Helz&Thornber1987,3,1382.15,1109,,2.10321617452799e-09,0.0874083409390949,0.022083357441994,0.20168978807080204,49.91,4.7,12.32,0.0,0.19,13.58,0.0,5.06,9.2,2.58,1.03,0.62,99.19000000000001,,,36.22,0.11,0.0,0.0,0.3,25.02,0.0,37.51,0.43,0.06,0.0,0.0,99.65
40,Helz&Thornber1987,8,1362.15,1089,,1.14301222399041e-09,0.0840103928901746,0.0201988539601936,0.19382976627013435,54.94,3.88,12.82,0.0,0.2,12.97,0.0,3.41,7.56,2.13,1.55,0.96,100.41999999999999,,,34.18,0.19,0.03,0.0,0.4,35.03,0.0,29.21,0.44,0.06,0.0,0.0,99.53999999999999
